year,state,total_vote,d,r,margin
1892,INDIANA,553613,262740,255615,1.287000124635801
1892,IOWA,443159,196367,219795,-5.286590140333381
1892,KANSAS,323591,NA,156134,NA
1892,KENTUCKY,340864,175461,135462,11.734592095381153
1892,LOUISIANA,118287,87922,27903,50.74014895973353
1892,MAINE,116013,48024,62878,-12.803737512175362
1892,MARYLAND,213275,113866,92736,9.907396553745162
1892,MASSACHUSETTS,391028,176813,202814,-6.649395951185083
1892,MICHIGAN,466917,202396,222708,-4.350237836703314
1892,MINNESOTA,267461,101055,122836,-8.143617200264707
1892,MISSISSIPPI,52519,40030,1398,73.5581408633066
1892,MISSOURI,541583,268400,227646,7.524977704248475
1892,MONTANA,44461,17690,18871,-2.6562605429477526
1892,NEBRASKA,200205,24956,87213,-31.09662595839265
1892,NEVADA,10826,703,2811,-19.471642342508773
1892,NEW HAMPSHIRE,89328,42081,45658,-4.004343542898081
1892,NEW JERSEY,337485,170987,156059,4.423307702564561
1892,NEW YORK,1336793,654868,609350,3.405014837749748
1892,NORTH CAROLINA,280270,132951,100346,11.633424911692297
1892,NORTH DAKOTA,36118,NA,17519,NA
1892,OHIO,850164,404115,405187,-0.1260933184656143
1892,OREGON,78378,14243,35002,-26.485748551889554
1892,PENNSYLVANIA,1003000,452264,516011,-6.355633100697905
1892,RHODE ISLAND,53196,24336,26975,-4.960899315738026
1892,SOUTH CAROLINA,70504,54680,13345,58.62787926926132
1892,SOUTH DAKOTA,70513,9081,34888,-36.59892502091813
1892,TENNESSEE,265732,136468,100537,13.521517920310696
1892,TEXAS,422447,239148,77478,38.269889477259866
1892,VERMONT,55793,16325,37992,-38.83462083057015
1892,VIRGINIA,292238,164136,113098,17.46453233323524
1892,WASHINGTON,87968,29802,36459,-7.567524554383414
1892,WEST VIRGINIA,171079,84467,80292,2.4403930347967897
1892,WISCONSIN,371481,177325,171101,1.6754558106605757
1892,WYOMING,16703,NA,8454,NA
1896,ALABAMA,194580,130298,55673,38.35183472093741
1896,ARKANSAS,149396,110103,37512,48.5896543414817
1896,CALIFORNIA,299374,123143,146688,-7.864744433384324
1896,COLORADO,189539,161005,26271,71.08510649523316
1896,CONNECTICUT,174394,56740,110285,-30.70346456873516
1896,DELAWARE,31538,13425,16883,-10.96455070074196
1896,FLORIDA,46468,30683,11298,41.716880433846946
1896,GEORGIA,163309,94733,60107,21.20275061386696
1896,IDAHO,29631,23135,6324,56.7345010293274
1896,ILLINOIS,1090766,465593,607130,-12.975927009092686
1896,INDIANA,637089,305538,323754,-2.8592551433159255
1896,IOWA,521550,223744,289293,-12.568114274757937
1896,KANSAS,336085,173049,159484,4.036181323177174
1896,KENTUCKY,445928,217894,218171,-0.06211765128003033
1896,LOUISIANA,101046,77175,22037,54.56722680759258
1896,MAINE,118419,34587,80403,-38.68973728877967
1896,MARYLAND,250249,104150,136959,-13.11054190026733
1896,MASSACHUSETTS,401269,105414,278976,-43.25327897245987
1896,MICHIGAN,545583,237164,293336,-10.295775344906271
1896,MINNESOTA,341762,139735,193503,-15.732585834586644
1896,MISSISSIPPI,69591,63355,4819,84.11432512824933
1896,MISSOURI,674032,363667,304940,8.71279108410284
1896,MONTANA,53330,42628,10509,60.226889180573785
1896,NEBRASKA,223181,115007,103064,5.351261980186484
1896,NEVADA,10314,7802,1938,56.85476051968199
1896,NEW HAMPSHIRE,83670,21271,57444,-43.23293892673598
1896,NEW JERSEY,371014,133675,221367,-23.63576576625141
1896,NEW YORK,1423876,551369,819838,-18.854801963092292
1896,NORTH CAROLINA,331337,174408,155122,5.820659932334754
1896,NORTH DAKOTA,47391,20686,26335,-11.919984807241878
1896,OHIO,1014295,474882,525991,-5.038869362463583
1896,OREGON,97335,46739,48700,-2.014691529254637
